name,price,category,image_url
Coca Cola,40,cool-drinks,
Maaza,35,cool-drinks,
Sprite,40,cool-drinks,
Thums Up,40,cool-drinks,
Minute Maid,45,cool-drinks,
Monster,120,cool-drinks,
Lays,20,packet-snacks,
Too Yum,20,packet-snacks,
Kurkure,20,packet-snacks,
Veg Puff,30,snacks,
Chicken Puff,40,snacks,
Egg Puff,35,snacks,
Paneer Puff,45,snacks,
Hot Dog,50,snacks,
Chicken Roll,60,snacks,
Samosa,20,snacks,
Banana Juice,40,fruit-juices,
Pineapple Juice,45,fruit-juices,
Watermelon Juice,40,fruit-juices,
Muskmelon Juice,45,fruit-juices,
Grapes Juice,50,fruit-juices,
Orange Juice,45,fruit-juices,
Butterscotch Cone,60,icecreams,
Chocolate Cone,60,icecreams,
Vanilla Cone,60,icecreams,
Black Forest Cone,70,icecreams,
Oreo Cone,70,icecreams,
Double Chocolate Cone,75,icecreams,
Butterscotch Cup,80,icecreams,
Chocolate Cup,80,icecreams,
Vanilla Cup,80,icecreams,
Chocolate Bar,50,icecreams,
Vanilla Bar,50,icecreams,
Orange Bar,50,icecreams
